month,nodes,nodes_after_reinvest,demand_equiv_nodes,utilization,revenue_cny,rent_cny,cost_cny,profit_cny,cash_cny,equity_cny,survival_prob,expected_profit_cny,price_index
1,1,1,0.016666666666666666,0.016666666666666666,6071.770367353266,150000,158358.23445167384,-152286.46408432059,597713.5359156794,597713.5359156794,0.985,-150002.16712305578,0.9815765298737517
2,1,1,0.03333333333333333,0.03333333333333333,11919.814574753786,150000,158703.26905991047,-146783.4544851567,450930.0814305227,450930.0814305227,0.970225,-142412.97712786114,0.9634924839989961
3,1,1,0.05,0.05,17550.31534053809,150000,159035.46860509174,-141485.15326455364,309444.9281659691,309444.9281659691,0.955671625,-135213.34633371004,0.9457416090031758
4,1,1,0.06666666666666667,0.06666666666666667,22969.30350687393,150000,159355.18890690556,-136385.88540003164,173059.04276593745,173059.04276593745,0.941336550625,-128385.01891640233,0.9283177667225558
5,1,1,0.08333333333333333,0.08333333333333333,28182.66153736788,150000,159662.77703070472,-131480.11549333684,41578.92727260062,41578.92727260062,0.927216502365625,-121910.53281836021,0.9112149320796772
6,1,1,0.1,0.1,33196.126937347224,150000,159958.5714893035,-126762.44455195626,-85183.51727935564,-85183.51727935564,0.9133082548301407,-115773.18701174964,0.8944271909999159
7,1,1,0.11666666666666667,0.11666666666666667,38015.295598478166,150000,160242.90244031022,-122227.60684183205,-207411.1241211877,-207411.1241211877,0.8996086310076885,-109957.01006232652,0.8779487383664247
8,1,1,0.13333333333333333,0.13333333333333333,42645.62506934755,150000,160516.09187909152,-117870.46680974396,-325281.5909309316,-325281.5909309316,0.8861145015425732,-104446.72994370668,0.8617738760127536
9,1,1,0.15,0.15,47092.43775360064,150000,160778.45382746245,-113686.0160738618,-438967.6070047934,-438967.6070047934,0.8728227840194346,-99227.74505366625,0.8458970107524514
10,1,1,0.16666666666666666,0.16666666666666666,51360.92403719441,150000,161030.29451819448,-109669.37048100008,-548636.9774857935,-548636.9774857935,0.8597304422591431,-94286.09638591201,0.8303126524449708
11,1,1,0.18333333333333332,0.18333333333333332,55456.14534629251,150000,161271.91257543126,-105815.76722913874,-654452.7447149323,-654452.7447149323,0.8468344856252559,-89608.44081252952,0.8150154120972048
12,1,1,0.2,0.2,59383.037137296225,150000,161503.59919110048,-102120.56205380426,-756573.3067687366,-756573.3067687366,0.834131968340877,-85182.02543401641,0.8
13,1,1,0.21666666666666667,0.21666666666666667,63146.41182047398,150000,161725.63829740798,-98579.226476934,-855152.5332456706,-855152.5332456706,0.8216199888157638,-80994.66295544516,0.7852612238990014
14,1,1,0.23333333333333334,0.23333333333333334,66750.96161862121,150000,161938.30673549866,-95187.34511687745,-950339.8783625481,-950339.8783625481,0.8092956889835273,-77034.70804887613,0.7707939871991969
15,1,1,0.25,0.25,70201.26136215236,150000,162141.87442036698,-91940.61305821461,-1042280.4914207627,-1042280.4914207627,0.7971562536487744,-73291.03466365795,0.7565932872025407
16,1,1,0.26666666666666666,0.26666666666666666,73501.77122199659,150000,162336.6045020978,-88834.8332801012,-1131115.324700864,-1131115.324700864,0.7851989098440427,-69753.01424771275,0.7426542133780447
17,1,1,0.2833333333333333,0.2833333333333333,76656.83938164063,150000,162522.7535235168,-85865.91414187616,-1216981.2388427402,-1216981.2388427402,0.773420926196382,-66410.49484430888,0.7289719456637418
18,1,1,0.3,0.3,79670.70464963335,150000,162700.57157432838,-83029.86692469503,-1300011.1057674352,-1300011.1057674352,0.7618196123034363,-63253.78103017708,0.7155417527999328
19,1,1,0.31666666666666665,0.31666666666666665,82547.49901383831,150000,162870.30244181646,-80322.80342797814,-1380333.9091954133,-1380333.9091954133,0.7503923181188847,-60273.61466212802,0.7023589906931399
20,1,1,0.3333333333333333,0.3333333333333333,85291.2501386951,150000,163032.183758183,-77740.9336194879,-1458074.8428149011,-1458074.8428149011,0.7391364333471014,-57461.156400582055,0.6894191008102029
21,1,1,0.35,0.35,87905.88380672119,150000,163186.44714459655,-75280.56333787536,-1533355.4061527764,-1533355.4061527764,0.7280493868468949,-54807.967979628986,0.6767176086019611
22,1,1,0.35,0.35,86286.3523824866,150000,163090.8947905667,-76804.5424080801,-1610159.9485608565,-1610159.9485608565,0.7171286460441915,-55078.73750715017,0.6642501219559767
23,1,1,0.35,0.35,84696.65834706492,150000,162997.10284247683,-78300.44449541191,-1688460.3930562683,-1688460.3930562683,0.7063717163535286,-55309.21936946831,0.6520123296777639
24,1,1,0.35,0.35,83136.25199221473,150000,162905.03886754066,-79768.78687532592,-1768229.1799315943,-1768229.1799315943,0.6957761406082257,-55501.21867311436,0.6400000000000001
25,1,1,0.35,0.35,81604.5937372279,150000,162814.67103049645,-81210.07729326855,-1849439.257224863,-1849439.257224863,0.6853394984991023,-55656.473645242,0.6282089791192011
26,1,1,0.35,0.35,80101.15394234545,150000,162725.96808259838,-82624.81414025293,-1932064.071365116,-1932064.071365116,0.6750594060216157,-55776.65795616554,0.6166351897593576
27,1,1,0.35,0.35,78625.41272561064,150000,162638.89935081103,-84013.48662520038,-2016077.5579903163,-2016077.5579903163,0.6649335149312915,-55863.38296332754,0.6052746297620326
28,1,1,0.35,0.35,77176.85978309638,150000,162553.4347272027,-85376.57494410631,-2101454.1329344227,-2101454.1329344227,0.6549595122073221,-55918.19987932374,0.5941233707024357
29,1,1,0.35,0.35,75754.99421244486,150000,162469.54465853426,-86714.5504460894,-2188168.683380512,-2188168.683380512,0.6451351195242122,-55942.601866526216,0.5831775565309935
30,1,1,0.35,0.35,74359.32433965777,150000,162387.2001360398,-88027.87579638204,-2276196.559176894,-2276196.559176894,0.635458092731349,-55938.02606076101,0.5724334022399462
31,1,1,0.35,0.35,72989.36754907807,150000,162306.37268539562,-89317.00513631754,-2365513.5643132115,-2365513.5643132115,0.6259262213403788,-55905.855526414445,0.5618871925545119
