month,nodes,nodes_after_reinvest,demand_equiv_nodes,utilization,revenue_cny,rent_cny,cost_cny,profit_cny,cash_cny,equity_cny,survival_prob,expected_profit_cny,price_index
1,1,1,0.041666666666666664,0.041666666666666664,15179.425918383165,350000,358895.5861291846,-343716.1602108014,1406283.8397891987,1406283.8397891987,0.985,-338560.4178076394,0.9815765298737517
2,1,1,0.08333333333333333,0.08333333333333333,29799.536436884468,350000,359758.17264977616,-329958.63621289167,1076325.203576307,1076325.203576307,0.970225,-320134.11781965283,0.9634924839989961
3,1,1,0.125,0.125,43875.78835134522,350000,360588.6715127294,-316712.88316138415,759612.3204149229,759612.3204149229,0.955671625,-302673.51570927515,0.9457416090031758
4,1,1,0.16666666666666666,0.16666666666666666,57423.25876718483,350000,361387.9722672639,-303964.7135000791,455647.6069148438,455647.6069148438,0.941336550625,-286133.09491788084,0.9283177667225558
5,1,1,0.20833333333333334,0.20833333333333334,70456.65384341971,350000,362156.94257676176,-291700.2887333421,163947.3181815017,163947.3181815017,0.927216502365625,-270469.3214583724,0.9112149320796772
6,1,1,0.25,0.25,82990.31734336806,350000,362896.4287232587,-279906.11137989064,-115958.79319838894,-115958.79319838894,0.9133082548301407,-255640.5621006589,0.8944271909999159
7,1,1,0.2916666666666667,0.2916666666666667,95038.23899619543,350000,363607.25610077556,-268569.0171045801,-384527.81030296907,-384527.81030296907,0.8996086310076885,-241607.0058085318,0.8779487383664247
8,1,1,0.3333333333333333,0.3333333333333333,106614.06267336888,350000,364290.22969772876,-257676.16702435986,-642203.9773273289,-642203.9773273289,0.8861145015425732,-228330.5883021915,0.8617738760127536
9,1,1,0.375,0.375,117731.09438400161,350000,364946.1345686561,-247215.04018465447,-889419.0175119834,-889419.0175119834,0.8728227840194346,-215774.91962544652,0.8458970107524514
10,1,1,0.4166666666666667,0.4166666666666667,128402.31009298604,350000,365575.73629548616,-237173.42620250012,-1126592.4437144836,-1126592.4437144836,0.8597304422591431,-203905.21460119166,0.8303126524449708
11,1,1,0.4583333333333333,0.4583333333333333,138640.3633657313,350000,366179.78143857815,-227539.41807284686,-1354131.8617873306,-1354131.8617873306,0.8468344856252559,-192688.22606318933,0.8150154120972048
12,1,1,0.5,0.5,148457.5928432406,350000,366758.9979777512,-218301.4051345106,-1572433.266921841,-1572433.266921841,0.834131968340877,-182092.18075642857,0.8
13,1,1,0.5416666666666666,0.5416666666666666,157866.02955118494,350000,367314.0957435199,-209448.06619233495,-1781881.333114176,-1781881.333114176,0.8216199888157638,-172086.7178024296,0.7852612238990014
14,1,1,0.5833333333333334,0.5833333333333334,166877.404046553,350000,367845.7668387466,-200968.3627921936,-1982849.6959063697,-1982849.6959063697,0.8092956889835273,-162642.8296297998,0.7707939871991969
15,1,1,0.625,0.625,175503.15340538087,350000,368354.6860509175,-192851.53264553662,-2175701.2285519065,-2175701.2285519065,0.7971562536487744,-153732.8052741403,0.7565932872025407
16,1,1,0.6666666666666666,0.6666666666666666,183754.42805499144,350000,368841.5112552445,-185087.08320025305,-2360788.3117521596,-2360788.3117521596,0.7851989098440427,-145330.17595505234,0.7426542133780447
17,1,1,0.7083333333333334,0.7083333333333334,191642.0984541016,350000,369306.883808792,-177664.7853546904,-2538453.09710685,-2538453.09710685,0.773420926196382,-137409.66284150604,0.7289719456637418
18,1,1,0.75,0.75,199176.7616240834,350000,369751.42893582094,-170574.66731173755,-2709027.764418587,-2709027.764418587,0.7618196123034363,-129947.12692021552,0.7155417527999328
19,1,1,0.7916666666666666,0.7916666666666666,206368.74753459578,350000,370175.7561045411,-163807.00856994535,-2872834.7729885327,-2872834.7729885327,0.7503923181188847,-122919.52088492131,0.7023589906931399
20,1,1,0.8333333333333334,0.8333333333333334,213228.12534673777,350000,370580.4593954575,-157352.33404871976,-3030187.1070372523,-3030187.1070372523,0.7391364333471014,-116304.84296761239,0.6894191008102029
21,1,1,0.875,0.875,219764.709516803,350000,370966.1178614914,-151201.4083446884,-3181388.5153819406,-3181388.5153819406,0.7280493868468949,-110082.09263573735,0.6767176086019611
22,1,1,0.9166666666666666,0.9166666666666666,225988.0657636554,350000,371333.2958800557,-145345.2301164003,-3326733.745498341,-3326733.745498341,0.7171286460441915,-104231.22808235558,0.6642501219559767
23,1,1,0.9583333333333334,0.9583333333333334,231907.5169026778,350000,371682.543497258,-139775.02659458018,-3466508.772092921,-3466508.772092921,0.7063717163535286,-98733.1254389737,0.6520123296777639
24,1,1,1.0,1.0,237532.14854918496,350000,372014.3967644019,-134482.24821521697,-3600991.0203081383,-3600991.0203081383,0.6957761406082257,-93569.5396435011,0.6400000000000001
25,1,1,1.0,1.0,233155.98210636547,350000,371756.2029442756,-138600.2208379101,-3739591.2411460485,-3739591.2411460485,0.6853394984991023,-94988.20584091813,0.6282089791192011
26,1,1,1.0,1.0,228860.43983527276,350000,371502.7659502811,-142642.32611500836,-3882233.567261057,-3882233.567261057,0.6750594060216157,-96292.04394073915,0.6166351897593576
27,1,1,1.0,1.0,224644.0363588876,350000,371253.99814517435,-146609.96178628676,-4028843.529047344,-4028843.529047344,0.6649335149312915,-97485.87721449799,0.6052746297620326
28,1,1,1.0,1.0,220505.31366598973,350000,371009.8135062934,-150504.49984030367,-4179348.0288876477,-4179348.0288876477,0.6549595122073221,-98574.35380041228,0.5941233707024357
29,1,1,1.0,1.0,216442.84060698535,350000,370770.12759581214,-154327.2869888268,-4333675.315876475,-4333675.315876475,0.6451351195242122,-99561.95273738417,0.5831775565309935
30,1,1,1.0,1.0,212455.21239902222,350000,370534.8575315423,-158079.6451325201,-4491754.961008995,-4491754.961008995,0.635458092731349,-100452.9897955597,0.5724334022399462
31,1,1,1.0,1.0,208541.05014022312,350000,370303.92195827316,-161762.87181805004,-4653517.832827045,-4653517.832827045,0.6259262213403788,-101251.6231102401,0.5618871925545119
32,1,1,1.0,1.0,204699.00033286828,350000,370077.24101963924,-165378.24068677097,-4818896.073513815,-4818896.073513815,0.6165373280202731,-101961.85862571538,0.5515352806481624
33,1,1,1.0,1.0,200927.73441536273,350000,369854.7363305064,-168927.00191514366,-4987823.075428959,-4987823.075428959,0.607289268099969,-102587.55535536965,0.541374086881569
34,1,1,1.0,1.0,197225.94830282658,350000,369636.3309498668,-172410.3826470402,-5160233.458075999,-5160233.458075999,0.5981799290784694,-103132.43046419829,0.5314000975647813
35,1,1,1.0,1.0,193592.36193614846,350000,369421.94935423275,-175829.5874180843,-5336063.045494083,-5336063.045494083,0.5892072301422924,-103600.0641796715,0.5216098637422112
36,1,1,1.0,1.0,190025.718839348,350000,369211.5174115215,-179185.79857217352,-5515248.844066257,-5515248.844066257,0.580369121690158,-103993.9045366819,0.5120000000000001
