month,nodes,nodes_after_reinvest,demand_equiv_nodes,utilization,revenue_cny,rent_cny,cost_cny,profit_cny,cash_cny,equity_cny,survival_prob,expected_profit_cny,price_index
1,1,1,0.1,0.1,36430.6222041196,350000,360149.4067100431,-323718.7845059235,1426281.2154940765,1426281.2154940765,0.985,-318863.00273833465,0.9815765298737517
2,1,1,0.2,0.2,71518.88744852273,350000,362219.61435946287,-290700.72691094014,1135580.4885831363,1135580.4885831363,0.970225,-282045.1127671669,0.9634924839989961
3,1,1,0.3,0.3,105301.89204322852,350000,364212.8116305505,-258910.91958732196,876669.5689958144,876669.5689958144,0.955671625,-247433.81925226032,0.9457416090031758
4,1,1,0.4,0.4,137815.8210412436,350000,366131.13344143337,-228315.31240018978,648354.2565956246,648354.2565956246,0.941336550625,-214921.54862966394,0.9283177667225558
5,1,1,0.5,0.5,169095.9692242073,350000,367976.66218422825,-198880.69296002094,449473.56363560364,449473.56363560364,0.927216502365625,-184405.4605144424,0.9112149320796772
6,1,1,0.6,0.6,199176.76162408333,350000,369751.42893582094,-170574.6673117376,278898.89632386604,278898.89632386604,0.9133082548301407,-155787.2517207149,0.8944271909999159
7,1,1,0.7,0.7,228091.773590869,350000,371457.4146418613,-143365.64105099227,135533.25527287376,135533.25527287376,0.8996086310076885,-128972.96807942283,0.8779487383664247
8,1,1,0.8,0.8,255873.75041608533,350000,373096.55127454904,-117222.80085846371,18310.45441441005,18310.45441441005,0.8861145015425732,-103872.8237521219,0.8617738760127536
9,1,1,0.9,0.9,282554.6265216039,350000,374670.72296477464,-92116.09644317074,-73805.64202876069,-73805.64202876069,0.8728227840194346,-80401.02775053102,0.8458970107524514
10,1,1,1.0,1.0,308165.5442231665,350000,376181.76710916683,-68016.22288600035,-141821.86491476104,-141821.86491476104,0.8597304422591431,-58475.61738257753,0.8303126524449708
11,1,1,1.1,1.0,302488.06552523194,350000,375846.7958659887,-73358.73034075677,-215180.5952555178,-215180.5952555178,0.8468344856252559,-62122.70267423661,0.8150154120972048
12,1,1,1.2,1.0,296915.1856864812,350000,375517.9959555024,-78602.8102690212,-293783.405524539,-293783.405524539,0.834131968340877,-65565.11684682315,0.8
