min_cash_cny,insolvent,insolvent_month,additional_capital_required_cny,initial_capital_cny,months,total_profit_cny,end_cash_cny,end_equity_cny,end_nodes,moic,irr_monthly,irr_annual,cagr_on_equity,payback_month,mean_monthly_roic,capital_turns_per_year,expected_total_profit_cny,scenario,rent
-9030619.418246936,True,6,9030619.418246936,1750000.0,36,-10780619.418246936,-9030619.418246936,-9030619.418246936,1,-5.1603539532839635,,,,,-0.17112094314677675,0.42657367172775956,-8325899.581791384,悲观,给定 35万
-2830619.418246936,True,6,2830619.418246936,750000.0,36,-3580619.418246936,-2830619.418246936,-2830619.418246936,1,-3.774159224329248,,,,,-0.13261553400914575,0.9953385673647723,-2814747.379988799,悲观,长单 15万
-5515248.844066257,True,6,5515248.844066257,1750000.0,36,-7265248.844066257,-5515248.844066257,-5515248.844066257,1,-3.151570768037861,,,,,-0.1153214102232739,1.1381511372772115,-5788881.692648093,中性,给定 35万
-182849.69590636974,True,8,182849.69590636974,750000.0,36,-65248.844066256715,684751.1559337433,684751.1559337433,1,0.9130015412449911,,,-0.029883621415507156,,-0.0024166238543058063,2.65568598698016,-277729.4908455072,中性,长单 15万
-3526863.508980306,True,9,3526863.508980306,1750000.0,36,-5276863.508980306,-3526863.508980306,-3526863.508980306,1,-2.015350576560175,,,,,-0.08375973823778263,1.5406379213642416,-4097704.3658136725,乐观,给定 35万
-87184.05239506275,True,33,87184.05239506275,750000.0,36,1412815.9476049375,-87184.05239506275,2162815.9476049375,4,2.8837545968065834,0.03014540068816951,0.4281779856240606,0.4233753264731497,19.0,0.024970719537675864,2.969119899502144,1027485.9011477348,乐观,长单 15万
