month,phase,nodes,pending_nodes,ordered,binding_constraint,cash_ok,demand_ok,supply_ok,demand_equiv_nodes,utilization,revenue_usd,out_tokens,in_tokens,rent_usd,opex_usd,ebt_usd,tax_usd,net_income_usd,cash_in_usd,cash_usd,deposits_usd,equity_usd,survival_prob,expected_net_income_usd,price_index,ar_balance_usd,capital_employed_usd
1,horizon,1,0,0,资金+需求,False,False,True,0.041666666666666664,0.041666666666666664,2276.945770254511,103262846.72356057,1032628467.2356057,22085.78117408013,23839.517094258135,-21562.571324003624,0.0,-21562.571324003624,910.7783081018044,65414.3859101642,44171.56234816026,109585.94825832447,0.99,-21346.94561076359,1.0,1366.1674621527065,45537.729810312965
2,horizon,1,0,0,资金+需求,False,False,True,0.08333333333333333,0.08333333333333333,4553.891540509022,206525693.44712114,2065256934.4712114,22085.78117408013,23893.253014436144,-19339.36147392712,0.0,-19339.36147392712,2504.640347279962,44025.77324300802,44171.56234816026,88197.33559116829,0.9801,-18954.50818059597,1.0,3415.4186553817663,47586.98100354202
3,horizon,1,0,0,资金+需求,False,False,True,0.125,0.125,6830.8373107635325,309788540.1706817,3097885401.706817,22085.78117408013,23946.98893461415,-17116.151623850616,0.0,-17116.151623850616,4781.586117534473,24860.370425928344,44171.56234816026,69031.93277408861,0.9702989999999999,-16607.784804470626,1.0,5464.669848610825,49636.23219677109
4,horizon,1,0,0,资金+需求,False,False,True,0.16666666666666666,0.16666666666666666,9107.783081018044,413051386.8942423,4130513868.942423,22085.78117408013,24000.724854792155,-14892.941773774111,0.0,-14892.941773774111,7058.531887788984,7918.177458925173,44171.56234816026,52089.73980708543,0.96059601,-14306.100445049733,1.0,7513.921041839883,51685.48339000014
5,horizon,1,0,0,资金+需求,False,False,True,0.20833333333333334,0.20833333333333334,11384.728851272555,516314233.61780286,5163142336.178029,22085.78117408013,24054.46077497016,-12669.731923697605,0.0,-12669.731923697605,9335.477658043495,-6800.805658001493,44171.56234816026,37370.75669015877,0.9509900498999999,-12048.788994336808,1.0,9563.172235068945,53734.734583229205
6,horizon,1,0,0,资金+需求,False,False,True,0.25,0.25,13661.674621527065,619577080.3413634,6195770803.413634,22085.78117408013,24108.19669514817,-10446.522073621105,0.0,-10446.522073621105,11612.423428298007,-19296.578924851656,44171.56234816026,24874.983423308604,0.9414801494009999,-9835.193162593641,1.0,11612.423428298003,55783.98577645826
7,horizon,1,0,0,资金+需求,False,False,True,0.2916666666666667,0.2916666666666667,15938.620391781578,722839927.064924,7228399270.6492405,22085.78117408013,24161.932615326175,-8223.312223544597,0.0,-8223.312223544597,13889.369198552517,-29569.142341625316,44171.56234816026,14602.420006534943,0.9320653479069899,-7664.664368585898,1.0,13661.674621527069,57833.23696968733
8,horizon,1,0,0,资金+需求,False,False,True,0.3333333333333333,0.3333333333333333,18215.566162036088,826102773.7884846,8261027737.884846,22085.78117408013,24215.66853550418,-6000.102373468093,0.0,-6000.102373468093,16166.314968807028,-37618.49590832247,44171.56234816026,6553.066439837792,0.92274469442792,-5536.562631142053,1.0,15710.92581475612,59882.48816291638
9,horizon,1,0,0,资金+需求,False,False,True,0.375,0.375,20492.5119322906,929365620.5120451,9293656205.120451,22085.78117408013,24269.404455682186,-3776.892523391587,0.0,-3776.892523391587,18443.260739061538,-43444.63962494311,44171.56234816026,726.922723217147,0.9135172474836407,-3450.256462010225,1.0,17760.17700798517,61931.73935614543
10,horizon,1,0,0,资金+需求,False,False,True,0.4166666666666667,0.4166666666666667,22769.45770254511,1032628467.2356057,10326284672.356058,22085.78117408013,24323.140375860195,-1553.6826733150847,0.0,-1553.6826733150847,20720.20650931605,-47047.57349148726,44171.56234816026,-2876.0111433269994,0.9043820750088043,-1405.1227599979225,1.0,19809.428201214236,63980.990549374495
11,horizon,1,0,0,资金+需求,False,False,True,0.4583333333333333,0.4583333333333333,25046.40347279962,1135891313.9591663,11358913139.591663,22085.78117408013,24376.8762960382,669.5271767614176,0.0,669.5271767614176,22997.15227957056,-48427.2975079549,44171.56234816026,-4255.73515979464,0.8953382542587163,599.4532936203346,1.0,21858.679394443316,66030.24174260357
