month,phase,nodes,pending_nodes,ordered,binding_constraint,cash_ok,demand_ok,supply_ok,demand_equiv_nodes,utilization,revenue_usd,out_tokens,in_tokens,rent_usd,opex_usd,ebt_usd,tax_usd,net_income_usd,cash_in_usd,cash_usd,deposits_usd,equity_usd,survival_prob,expected_net_income_usd,price_index,ar_balance_usd,capital_employed_usd
1,horizon,1,0,0,资金+需求,False,False,True,0.016666666666666666,0.016666666666666666,893.9986111508557,41305138.68942423,413051386.8942423,22085.78117408013,23806.87954130329,-22912.880930152434,0.0,-22912.880930152434,357.5994444603423,64893.84459947758,44171.56234816026,109065.40694763785,0.99,-22683.75212085091,0.9815765298737517,536.3991666905134,44707.96151485077
2,horizon,1,0,0,资金+需求,False,False,True,0.03333333333333333,0.03333333333333333,1755.0561088908207,82610277.37884846,826102773.7884846,22085.78117408013,23827.200498249953,-22072.14438935913,0.0,-22072.14438935913,970.222026901585,42036.866128129215,44171.56234816026,86208.42847628947,0.9801,-21632.908716010883,0.9634924839989961,1321.233248679749,45492.795596840006
3,horizon,1,0,0,资金+需求,False,False,True,0.05,0.05,2584.082827648172,123915416.0682727,1239154160.6827269,22085.78117408013,23846.765528812626,-21262.682701164453,0.0,-21262.682701164453,1828.3495470717717,20018.45014638836,44171.56234816026,64190.01249454862,0.9702989999999999,-20631.159762257164,0.9457416090031758,2076.9665292561494,46248.52887741641
4,horizon,1,0,0,资金+需求,False,False,True,0.06666666666666667,0.06666666666666667,3381.9667398256593,165220554.75769693,1652205547.5769691,22085.78117408013,23865.595589140015,-20483.628849314355,0.0,-20483.628849314355,2654.5283768919617,-1192.617065859693,44171.56234816026,42978.94528230057,0.96059601,-19676.49214297226,0.9283177667225558,2804.4048921898466,46975.9672403501
5,horizon,1,0,0,资金+需求,False,False,True,0.08333333333333333,0.08333333333333333,4149.573970783144,206525693.44712114,2065256934.4712114,22085.78117408013,23883.711119790612,-19734.137149007467,0.0,-19734.137149007467,3449.6444585554073,-21626.6837270949,44171.56234816026,22544.87862106536,0.9509900498999999,-18766.96807206805,0.9112149320796772,3504.3344044175847,47675.89675257784
6,horizon,1,0,0,资金+需求,False,False,True,0.1,0.1,4887.749302434917,247830832.1365454,2478308321.3654537,22085.78117408013,23901.132057617593,-19013.382755182676,0.0,-19013.382755182676,4214.561934156608,-41313.253850555884,44171.56234816026,2858.3084976043756,0.9414801494009999,-17900.722436967782,0.8944271909999159,4177.5217726958945,48349.084120856154
7,horizon,1,0,0,资金+需求,False,False,True,0.11666666666666667,0.11666666666666667,5597.316665706402,289135970.8259696,2891359708.259696,22085.78117408013,23917.877847390802,-18320.5611816844,0.0,-18320.5611816844,4950.12364824798,-60281.00804969871,44171.56234816026,-16109.445701538447,0.9320653479069899,-17075.960231657966,0.8779487383664247,4824.714790154318,48996.277138314574
8,horizon,1,0,0,资金+需求,False,False,True,0.13333333333333333,0.13333333333333333,6279.079622089838,330441109.51539385,3304411095.1539383,22085.78117408013,23933.96745316145,-17654.887831071614,0.0,-17654.887831071614,5657.1516392783315,-78557.82386358183,44171.56234816026,-34386.26151542157,0.92274469442792,-16290.954076841379,0.8617738760127536,5446.642772965824,49618.205121126084
9,horizon,1,0,0,资金+需求,False,False,True,0.15,0.15,6933.821834533423,371746248.20481807,3717462482.0481806,22085.78117408013,23949.41936937512,-17015.597534841698,0.0,-17015.597534841698,6336.447620152241,-96170.79561280471,44171.56234816026,-51999.23326464445,0.9135172474836407,-15544.04182431801,0.8458970107524514,6044.016987347004,50215.57933550727
10,horizon,1,0,0,资金+需求,False,False,True,0.16666666666666666,0.16666666666666666,7562.307527893519,413051386.8942423,4130513868.942423,22085.78117408013,23964.251631738418,-16401.9441038449,0.0,-16401.9441038449,6988.793448144386,-113146.25379639874,44171.56234816026,-68974.69144823847,0.9043820750088043,-14833.624242813674,0.8303126524449708,6617.531067096141,50789.0934152564
11,horizon,1,0,0,资金+需求,False,False,True,0.18333333333333332,0.18333333333333332,8165.281939174657,454356525.5836665,4543565255.836665,22085.78117408013,23978.48182784465,-15813.199888669995,0.0,-15813.199888669995,7614.951584397944,-129509.78403984544,44171.56234816026,-85338.22169168518,0.8953382542587163,-14158.16278256592,0.8150154120972048,7167.861421872854,51339.423770033114
12,horizon,1,0,0,资金+需求,False,False,True,0.2,0.2,8743.47175777732,495661664.2730908,4956616642.730907,22085.78117408013,23992.127107563676,-15248.655349786355,0.0,-15248.655349786355,8215.66554323138,-145286.24560417773,44171.56234816026,-101114.68325601748,0.8863848717161291,-13516.177416063845,0.8,7695.667636418795,51867.229984579055
13,horizon,1,0,0,资金+需求,False,False,True,0.21666666666666667,0.21666666666666667,9297.5855559689,536966802.962515,5369668029.62515,22085.78117408013,24005.204193200996,-14707.618637232095,0.0,-14707.618637232095,8791.660331473155,-160499.78946590557,44171.56234816026,-116328.22711774532,0.8775210229989678,-12906.244552422593,0.7852612238990014,8201.592860914541,52373.1552090748
14,horizon,1,0,0,资金+需求,False,False,True,0.23333333333333334,0.23333333333333334,9828.314209788598,578271941.6519392,5782719416.519392,22085.78117408013,24017.72938943114,-14189.415179642543,0.0,-14189.415179642543,9343.642878039305,-175173.8759772974,44171.56234816026,-131002.31362913715,0.8687458127689781,-12326.995022955036,0.7707939871991969,8686.264192663832,52857.82654082409
15,horizon,1,0,0,资金+需求,False,False,True,0.25,0.25,10336.331310592688,619577080.3413634,6195770803.413634,22085.78117408013,24029.71859301012,-13693.38728241743,0.0,-13693.38728241743,9872.302453964325,-189331.2921163432,44171.56234816026,-145159.72976818294,0.8600583546412883,-11777.112135581878,0.7565932872025407,9150.293049292202,53321.85539745246
16,horizon,1,0,0,资金+需求,False,False,True,0.26666666666666666,0.26666666666666666,10822.293567442111,660882219.0307877,6608822190.307877,22085.78117408013,24041.187302271763,-13218.893734829651,0.0,-13218.893734829651,10378.31108309123,-202994.16833552372,44171.56234816026,-158822.60598736347,0.8514577710948754,-11255.329795798069,0.7426542133780447,9594.275533643086,53765.837881803345
17,horizon,1,0,0,资金+需求,False,False,True,0.2833333333333333,0.2833333333333333,11286.841200530152,702187357.7202119,7021873577.202119,22085.78117408013,24052.15062641264,-12765.309425882488,0.0,-12765.309425882488,10862.323943622501,-216183.99501831387,44171.56234816026,-172012.43267015362,0.8429431933839266,-10760.430691987323,0.7289719456637418,10018.792790550739,54190.355138711
18,horizon,1,0,0,资金+需求,False,False,True,0.3,0.3,11730.598325843803,743492496.4096361,7434924964.096361,22085.78117408013,24062.623294570043,-12332.02496872624,0.0,-12332.02496872624,11324.9797607292,-228921.6385521547,44171.56234816026,-184750.07620399445,0.8345137614500874,-10291.24454294813,0.7155417527999328,10424.411355665346,54595.973703825606
19,horizon,1,0,0,资金+需求,False,False,True,0.31666666666666665,0.31666666666666665,12154.173331248188,784797635.0990603,7847976350.990603,22085.78117408013,24072.619664697588,-11918.4463334494,0.0,-11918.4463334494,11766.901190411463,-241227.35702644082,44171.56234816026,-197055.79467828057,0.8261686238355865,-9846.646405564183,0.7023589906931399,10811.683496502068,54983.24584466233
20,horizon,1,0,0,资金+需求,False,False,True,0.3333333333333333,0.3333333333333333,12558.159244179677,826102773.7884846,8261027737.884846,22085.78117408013,24082.15373224277,-11523.994488063092,0.0,-11523.994488063092,12188.695194799468,-253120.81556388413,44171.56234816026,-208949.25321572387,0.8179069375972307,-9425.555040619049,0.6894191008102029,11181.147545882268,55352.70989404253
21,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,12943.134091129054,867407912.4779087,8674079124.779087,22085.78117408013,24091.239138630775,-11148.105047501722,0.0,-11148.105047501722,12590.95340907998,-264621.1012934349,44171.56234816026,-220449.53894527466,0.8097278682212583,-9026.93133482022,0.6767176086019611,11533.328227931343,55704.8905760916
22,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,12704.676646861111,867407912.4779087,8674079124.779087,22085.78117408013,24085.61154294605,-11380.93489608494,0.0,-11380.93489608494,12732.258659337063,-275974.4541770439,44171.56234816026,-231802.89182888367,0.8016305895390458,-9123.305550254068,0.6642501219559767,11505.74621545538,55677.30856361564
23,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,12470.61241619402,867407912.4779087,8674079124.779087,22085.78117408013,24080.087627102308,-11609.475210908287,0.0,-11609.475210908287,12682.588187874659,-287371.95361627155,44171.56234816026,-243200.3912681113,0.7936142836436553,-9213.445352983754,0.6520123296777639,11293.77044377476,55465.33279193502
24,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,12240.86046088825,867407912.4779087,8674079124.779087,22085.78117408013,24074.665480957094,-11833.805020068843,0.0,-11833.805020068843,12448.93090327184,-298997.6881939568,44171.56234816026,-254826.12584579655,0.7856781408072188,-9297.56192684282,0.6400000000000001,11085.700001391175,55257.262349551434
25,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,12015.341333867502,867407912.4779087,8674079124.779087,22085.78117408013,24069.343229559403,-12054.001895691901,0.0,-12054.001895691901,12219.57839667168,-310847.45302684454,44171.56234816026,-266675.8906786843,0.7778213593991465,-9375.860140706964,0.6282089791192011,10881.462938587007,55053.02528674727
26,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,11793.977051746317,867407912.4779087,8674079124.779087,22085.78117408013,24064.11903250134,-12270.141980755025,0.0,-12270.141980755025,11994.451359125253,-322917.12070022064,44171.56234816026,-278745.5583520604,0.7700431458051551,-9448.538730336495,0.6166351897593576,10680.988631208049,54852.55097936831
