情形,country,hardware_usd,amortisation_usd,colo_rate_usd_kw_month,colo_usd,electricity_usd_kwh,energy_usd,network_usd,total_cost_usd,本项目租金_USD,出租方毛利率
SG 硬件低位,SG,400000.0,13285.723925140466,403.0,6045.0,0.15,1745.15625,1000.0,22075.880175140468,22085.78117408013,0.00044829742998997446
SG 硬件中位,SG,500000.0,16607.15490642558,403.0,6045.0,0.15,1745.15625,1000.0,25397.31115642558,22085.78117408013,-0.1499394545406374
SG 硬件高位,SG,600000.0,19928.5858877107,403.0,6045.0,0.15,1745.15625,1000.0,28718.7421377107,22085.78117408013,-0.30032720651126477
MY 硬件低位,MY,400000.0,13285.723925140466,261.547,3923.2050000000004,0.125,1454.296875,1000.0,19663.225800140466,22085.78117408013,0.10968846222124007
MY 硬件中位,MY,500000.0,16607.15490642558,261.547,3923.2050000000004,0.125,1454.296875,1000.0,22984.656781425583,22085.78117408013,-0.04069928974938741
MY 硬件高位,MY,600000.0,19928.5858877107,261.547,3923.2050000000004,0.125,1454.296875,1000.0,26306.0877627107,22085.78117408013,-0.191087041720015
