月租金_CNY,售价系数,盈亏平衡利用率,可行
100000,1.0,0.2984396283955803,True
100000,0.9,0.33159958710620036,True
100000,0.8,0.37304953549447534,True
100000,0.7,0.4263423262794005,True
100000,0.6,0.4973993806593005,True
100000,0.5,0.5968792567911606,True
125000,1.0,0.36742703431692353,True
125000,0.9,0.4082522603521373,True
125000,0.8,0.4592837928961544,True
125000,0.7,0.5248957633098909,True
125000,0.6,0.612378390528206,True
125000,0.5,0.7348540686338471,True
150000,1.0,0.4364144402382668,True
150000,0.9,0.4849049335980743,True
150000,0.8,0.5455180502978334,True
150000,0.7,0.6234492003403813,True
150000,0.6,0.7273574003971114,True
150000,0.5,0.8728288804765336,True
175000,1.0,0.50540184615961,True
175000,0.9,0.5615576068440111,True
175000,0.8,0.6317523076995124,True
175000,0.7,0.7220026373708716,True
175000,0.6,0.8423364102660167,True
175000,0.5,1.01080369231922,False
200000,1.0,0.5743892520809533,True
200000,0.9,0.6382102800899481,True
200000,0.8,0.7179865651011914,True
200000,0.7,0.8205560744013619,True
200000,0.6,0.9573154201349221,True
200000,0.5,1.1487785041619065,False
265000,1.0,0.7537565074764456,True
265000,0.9,0.8375072305293841,True
265000,0.8,0.942195634345557,True
265000,0.7,1.0767950106806368,False
265000,0.6,1.256260845794076,False
265000,0.5,1.5075130149528913,False
