erosion,cache_hit,hazard,price_multiplier,scenario,irr_annual,payback_month,end_equity_usd,end_equity_going_concern_usd,end_equity_after_tail_usd,peak_capital_usd,end_nodes
0.30958241942238535,0.7553308255404926,0.02646494799778456,0.8789472116237456,悲观,,,-497757.3625256472,-513157.1174945948,-497757.3625256472,132514.6870444808,1
0.3902489406547024,0.8326735284776847,0.024651607631923846,0.6512454530702183,中性,,,-379520.5474213149,-394920.3023902625,-379520.5474213149,132514.6870444808,1
0.1483192096930325,0.8724235973236645,0.021096628002016612,0.929104645308332,中性,,,122604.15994313805,107204.40497419047,122604.15994313805,132514.6870444808,1
0.09089548871391076,0.7831003488838004,0.006595431402604383,0.9310524687970329,中性,,,79600.32486482496,340225.50141369086,-506606.7816242305,265029.3740889616,2
0.30323509603414955,0.7350862323511684,0.02926745060987258,0.957248448528879,乐观,,21.0,120409.98494748413,-34401.828590204765,-223294.49110493428,265029.3740889616,2
0.07785548314078704,0.7620130408944882,0.006095094144680719,0.6617157968270191,中性,,,24849.291127544147,9449.536158596573,24849.291127544147,132514.6870444808,1
0.29790486236312685,0.8822023357842104,0.013145633953453799,0.7481838824139475,中性,,,-237978.96259985655,-253378.71756880413,-237978.96259985655,132514.6870444808,1
0.07578854363371429,0.6811811612805132,0.016892623155648344,0.6907637396203536,中性,,,90176.69357934108,74776.93861039351,90176.69357934108,132514.6870444808,1
0.17486076754893232,0.8498427670538811,0.022506627550056228,0.7249466565528164,乐观,,,139178.1263767337,123778.37140778614,139178.1263767337,132514.6870444808,1
0.32190574299872077,0.7429948109672418,0.012208202598256102,0.8729982015899902,悲观,,,-504497.7065185635,-519897.46148751106,-504497.7065185635,132514.6870444808,1
0.07996328099004334,0.6517669447402413,0.02467310943755346,0.8659403426368129,中性,,,73160.06702536572,364666.3295063166,-496823.3293545001,265029.3740889616,2
0.31229161240878717,0.7601397861292016,0.01921852989882234,0.655918799251063,悲观,,,-556645.5707048399,-572045.3256737875,-556645.5707048399,132514.6870444808,1
0.2673611847161887,0.7630630894743519,0.01913090266202972,0.9059995429664103,中性,,,-43386.380343714576,-58786.135312662154,-43386.380343714576,132514.6870444808,1
0.22143176026319833,0.7842097185788992,0.012598752451565304,0.6123271338271757,中性,,,-217921.52083872023,-233321.27580766781,-217921.52083872023,132514.6870444808,1
0.08583386912781168,0.7480468744939127,0.026335076831704152,0.6935757943461363,悲观,,,-431609.0932383626,-447008.84820731013,-431609.0932383626,132514.6870444808,1
0.11255355680879862,0.7204625018640041,0.021547912868172377,0.8228128609365113,乐观,1.0349947663588712,18.0,284760.0446769933,602823.5353264229,-1062061.880559548,530058.7481779231,4
