month,phase,nodes,pending_nodes,ordered,binding_constraint,cash_ok,demand_ok,supply_ok,demand_equiv_nodes,utilization,revenue_usd,out_tokens,in_tokens,rent_usd,opex_usd,ebt_usd,tax_usd,net_income_usd,cash_in_usd,cash_usd,deposits_usd,equity_usd,survival_prob,expected_net_income_usd,price_index,ar_balance_usd,capital_employed_usd
1,horizon,1,0,0,资金+需求,False,False,True,0.016666666666666666,0.016666666666666666,872.821192795493,41305138.68942423,413051386.8942423,22085.78117408013,23806.379754230104,-22933.55856143461,0.0,-22933.55856143461,349.1284771181972,64885.87341920863,44171.56234816026,109057.43576736888,0.99,-22704.222975820263,0.958324528627148,523.6927156772957,44695.255063837554
2,horizon,1,0,0,资金+需求,False,False,True,0.03333333333333333,0.03333333333333333,1672.8919163230514,82610277.37884846,826102773.7884846,22085.78117408013,23825.261423305354,-22152.3695069823,0.0,-22152.3695069823,931.0031243678684,41991.61512027114,44171.56234816026,86163.1774684314,0.9801,-21711.537353793352,0.9183859021684453,1265.5815076324786,45437.14385579274
3,horizon,1,0,0,资金+需求,False,False,True,0.05,0.05,2404.760035731682,123915416.0682727,1239154160.6827269,22085.78117408013,23842.533510923397,-21437.773475191716,0.0,-21437.773475191716,1725.6179470282361,19874.69955637598,44171.56234816026,64046.26190453624,0.9702989999999999,-20801.050165205044,0.8801117367933934,1944.7235963359244,46116.28594449619
4,horizon,1,0,0,资金+需求,False,False,True,0.06666666666666667,0.06666666666666667,3072.7207036052896,165220554.75769693,1652205547.5769691,22085.78117408013,23858.297382685214,-20785.576679079924,0.0,-20785.576679079924,2452.3838670585355,-1531.2139592506974,44171.56234816026,42640.348388909566,0.96059601,-19966.542023473226,0.8434326653017492,2565.0604328826785,46736.62278104294
5,horizon,1,0,0,资金+需求,False,False,True,0.08333333333333333,0.08333333333333333,3680.8295248567724,206525693.44712114,2065256934.4712114,22085.78117408013,23872.64875086675,-20191.819226009975,0.0,-20191.819226009975,3115.5760317438007,-22288.286678373646,44171.56234816026,21883.275669786613,0.9509900498999999,-19202.219173315003,0.8082822114040379,3130.3139259956497,47301.87627415591
6,horizon,1,0,0,资金+需求,False,False,True,0.1,0.1,4232.915063238307,247830832.1365454,2478308321.3654537,22085.78117408013,23885.677969572553,-19652.762906334247,0.0,-19652.762906334247,3719.2310938339415,-42454.73355411226,44171.56234816026,1716.8287940480004,0.9414801494009999,-18502.686157197993,0.7745966692414834,3643.9978954000144,47815.56024356028
7,horizon,1,0,0,资金+需求,False,False,True,0.11666666666666667,0.11666666666666667,4732.590721479372,289135970.8259696,2891359708.259696,22085.78117408013,23897.470315107043,-19164.87959362767,0.0,-19164.87959362767,4267.159665020273,-62085.04420419903,44171.56234816026,-17913.481856038772,0.9320653479069899,-17862.920166030144,0.7423149879270033,4109.428951859114,48280.99130001938
8,horizon,1,0,0,资金+需求,False,False,True,0.13333333333333333,0.13333333333333333,5183.266025539352,330441109.51539385,3304411095.1539383,22085.78117408013,23908.106252282858,-18724.840226743505,0.0,-18724.840226743505,4762.958145631044,-81230.19231085085,44171.56234816026,-37058.62996269059,0.92274469442792,-17278.24697323806,0.7113786608980126,4529.736831767423,48701.29917992768
9,horizon,1,0,0,资金+需求,False,False,True,0.15,0.15,5588.157342008373,371746248.20481807,3717462482.0481806,22085.78117408013,23917.661687351527,-18329.504345343154,0.0,-18329.504345343154,5210.019960908967,-99937.83403729342,44171.56234816026,-55766.27168913316,0.9135172474836407,-16744.31835729731,0.6817316198804996,4907.874212866827,49079.43656102709
10,horizon,1,0,0,资金+需求,False,False,True,0.16666666666666666,0.16666666666666666,5950.298056305011,413051386.8942423,4130513868.942423,22085.78117408013,23926.20820820893,-17975.910151903918,0.0,-17975.910151903918,5611.546232786322,-118252.49601271603,44171.56234816026,-74080.93366455578,0.9043820750088043,-16257.090923350695,0.6533201332722017,5246.626036385518,49418.18838454578
11,horizon,1,0,0,资金+需求,False,False,True,0.18333333333333332,0.18333333333333332,6272.548237999489,454356525.5836665,4543565255.836665,22085.78117408013,23933.813312496917,-17661.265074497427,0.0,-17661.265074497427,5970.555914693811,-136215.75341051913,44171.56234816026,-92044.19106235888,0.8953382542587163,-15812.806239800962,0.6260927087607083,5548.618359691194,49720.180707851454
12,horizon,1,0,0,资金+需求,False,False,True,0.2,0.2,6557.603818332992,495661664.2730908,4956616642.730907,22085.78117408013,23940.54062419279,-17382.936805859797,0.0,-17382.936805859797,6289.895415624547,-153866.39861908735,44171.56234816026,-109694.8362709271,0.8863848717161291,-15407.972210711616,0.6,5816.3267623996435,49987.8891105599
13,horizon,1,0,0,资金+需求,False,False,True,0.21666666666666667,0.21666666666666667,6808.005303804845,536966802.962515,5369668029.62515,22085.78117408013,23946.450099249923,-17138.444795445077,0.0,-17138.444795445077,6572.247738421683,-171240.6009799156,44171.56234816026,-127069.03863175533,0.8775210229989678,-15039.3456095103,0.5749947171762888,6052.084327782803,50223.64667594306
14,horizon,1,0,0,资金+需求,False,False,True,0.23333333333333334,0.23333333333333334,7026.146048556816,578271941.6519392,5782719416.519392,22085.78117408013,23951.598220826072,-16925.452172269255,0.0,-16925.452172269255,6820.141156064077,-188372.05804467757,44171.56234816026,-144200.49569651732,0.8687458127689781,-14703.91570388052,0.5510315413010671,6258.089220275542,50429.6515684358
15,horizon,1,0,0,资金+需求,False,False,True,0.25,0.25,7214.280107195046,619577080.3413634,6195770803.413634,22085.78117408013,23956.038184609934,-16741.75807741489,0.0,-16741.75807741489,7035.957448586516,-205292.13878070097,44171.56234816026,-161120.57643254072,0.8600583546412883,-14398.888905863947,0.528067042076036,6436.4118788840715,50607.97422704433
16,horizon,1,0,0,资金+需求,False,False,True,0.26666666666666666,0.26666666666666666,7374.529688652698,660882219.0307877,6608822190.307877,22085.78117408013,23959.820074732335,-16585.290386079636,0.0,-16585.290386079636,7221.939722186637,-222030.01913324668,44171.56234816026,-177858.45678508643,0.8514577710948754,-14121.674385092632,0.5060595991810496,6589.001845350125,50760.564193510385
17,horizon,1,0,0,资金+需求,False,False,True,0.2833333333333333,0.2833333333333333,7508.892230707816,702187357.7202119,7021873577.202119,22085.78117408013,23962.991030724836,-16454.09880001702,0.0,-16454.09880001702,7380.199831037449,-238612.81033293408,44171.56234816026,-194441.24798477383,0.8429431933839266,-13869.87058674098,0.4849693268424227,6717.694245020495,50889.256593180755
18,horizon,1,0,0,资金+需求,False,False,True,0.3,0.3,7619.247113828951,743492496.4096361,7434924964.096361,22085.78117408013,23965.595405966495,-16346.348292137543,0.0,-16346.348292137543,7512.725421339734,-255065.68031756085,44171.56234816026,-210894.1179694006,0.8345137614500874,-13641.252599244914,0.46475800154489,6824.215937509711,50995.77828566997
19,horizon,1,0,0,资金+需求,False,False,True,0.31666666666666665,0.31666666666666665,7707.362032123548,784797635.0990603,7847976350.990603,22085.78117408013,23967.674918038247,-16260.3128859147,0.0,-16260.3128859147,7621.38661621045,-271411.96861938864,44171.56234816026,-227240.4062712284,0.8261686238355865,-13433.760320092202,0.44538899275620203,6910.191353422808,51081.75370158307
20,horizon,1,0,0,资金+需求,False,False,True,0.3333333333333333,0.3333333333333333,7774.899038309029,826102773.7884846,8261027737.884846,22085.78117408013,23969.268791384224,-16194.369753075196,0.0,-16194.369753075196,7707.942359109361,-287673.29505166353,44171.56234816026,-243501.73270350328,0.8179069375972307,-13245.487371054955,0.4268271965388075,6977.14803262247,51148.71038078273
