month,phase,nodes,pending_nodes,ordered,binding_constraint,cash_ok,demand_ok,supply_ok,demand_equiv_nodes,utilization,revenue_usd,out_tokens,in_tokens,rent_usd,opex_usd,ebt_usd,tax_usd,net_income_usd,cash_in_usd,cash_usd,deposits_usd,equity_usd,survival_prob,expected_net_income_usd,price_index,ar_balance_usd,capital_employed_usd
1,horizon,1,0,0,资金+需求,False,False,True,0.041666666666666664,0.041666666666666664,2182.0529819887324,103262846.72356057,1032628467.2356057,22085.78117408013,23837.277624455062,-21655.22464246633,0.0,-21655.22464246633,872.8211927954931,65378.66826466097,44171.56234816026,109550.23061282124,0.99,-21438.672396041668,0.958324528627148,1309.2317891932394,45480.7941373535
2,horizon,1,0,0,资金+需求,False,False,True,0.08333333333333333,0.08333333333333333,4182.229790807629,206525693.44712114,2065256934.4712114,22085.78117408013,23884.48179714319,-19702.252006335562,0.0,-19702.252006335562,2327.507810919671,43821.69427843745,44171.56234816026,87993.25662659771,0.9801,-19310.177191409482,0.9183859021684453,3163.953769081197,47335.51611724146
3,horizon,1,0,0,资金+需求,False,False,True,0.125,0.125,6011.900089329204,309788540.1706817,3097885401.706817,22085.78117408013,23927.6620161883,-17915.761926859097,0.0,-17915.761926859097,4314.04486757059,24208.077129819736,44171.56234816026,68379.63947798,0.9702989999999999,-17383.645881869452,0.8801117367933934,4861.808990839812,49033.37133900007
4,horizon,1,0,0,资金+需求,False,False,True,0.16666666666666666,0.16666666666666666,7681.801759013225,413051386.8942423,4130513868.942423,22085.78117408013,23967.071695592844,-16285.269936579618,0.0,-16285.269936579618,6130.95966764634,6371.965101873233,44171.56234816026,50543.52745003349,0.96059601,-15643.565322851333,0.8434326653017492,6412.651082206699,50584.21343036696
5,horizon,1,0,0,资金+需求,False,False,True,0.20833333333333334,0.20833333333333334,9202.073812141933,516314233.61780286,5163142336.178029,22085.78117408013,24002.95011604668,-14800.876303904746,0.0,-14800.876303904746,7788.940079359501,-9842.044934813945,44171.56234816026,34329.517413346315,0.9509900498999999,-14075.486094814101,0.8082822114040379,7825.784814989132,51997.34716314939
6,horizon,1,0,0,资金+需求,False,False,True,0.25,0.25,10582.287658095767,619577080.3413634,6195770803.413634,22085.78117408013,24035.52316281119,-13453.235504715423,0.0,-13453.235504715423,9298.077734584855,-24579.49036304028,44171.56234816026,19592.07198511998,0.9414801494009999,-12665.954172906313,0.7745966692414834,9109.994738500045,53281.55708666031
7,horizon,1,0,0,资金+需求,False,False,True,0.2916666666666667,0.2916666666666667,11831.476803698431,722839927.064924,7228399270.6492405,22085.78117408013,24065.004026647413,-12233.527222948982,0.0,-12233.527222948982,10667.899162550682,-37976.59522713701,44171.56234816026,6194.967121023248,0.9320653479069899,-11402.446807187574,0.7423149879270033,10273.57237964779,54445.13472780805
8,horizon,1,0,0,资金+需求,False,False,True,0.3333333333333333,0.3333333333333333,12958.16506384838,826102773.7884846,8261027737.884846,22085.78117408013,24091.59386958695,-11133.428805738571,0.0,-11133.428805738571,11907.395364077613,-50160.79373264635,44171.56234816026,-5989.231384486091,0.92274469442792,-10273.31236128624,0.7113786608980126,11324.342079418551,55495.90442757881
9,horizon,1,0,0,资金+需求,False,False,True,0.375,0.375,13970.393355020935,929365620.5120451,9293656205.120451,22085.78117408013,24115.482457258622,-10145.089102237687,0.0,-10145.089102237687,13025.049902272418,-61251.226287632555,44171.56234816026,-17079.663939472295,0.9135172474836407,-9267.713872152452,0.6817316198804996,12269.68553216706,56441.24788032732
10,horizon,1,0,0,资金+需求,False,False,True,0.4166666666666667,0.4166666666666667,14875.74514076253,1032628467.2356057,10326284672.356058,22085.78117408013,24136.848759402124,-9261.103618639594,0.0,-9261.103618639594,14028.865581965805,-71359.20946506888,44171.56234816026,-27187.64711690862,0.9043820750088043,-8375.576107496823,0.6533201332722017,13116.565090963792,57288.12743912405
