month,phase,nodes,pending_nodes,ordered,binding_constraint,cash_ok,demand_ok,supply_ok,demand_equiv_nodes,utilization,revenue_usd,out_tokens,in_tokens,rent_usd,opex_usd,ebt_usd,tax_usd,net_income_usd,cash_in_usd,cash_usd,deposits_usd,equity_usd,survival_prob,expected_net_income_usd,price_index,ar_balance_usd,capital_employed_usd
1,horizon,1,0,0,资金+需求,False,False,True,0.1,0.1,5363.9916669051345,247830832.1365454,2478308321.3654537,22085.78117408013,23912.37137741909,-18548.379710513957,0.0,-18548.379710513957,2145.5966667620537,66576.34998566349,44171.56234816026,110747.91233382374,0.99,-18362.895913408818,0.9815765298737517,3218.395000143081,47389.95734830334
2,horizon,1,0,0,资金+需求,False,False,True,0.2,0.2,10530.336653344926,495661664.2730908,4956616642.730907,22085.78117408013,24034.29711909907,-13503.960465754142,0.0,-13503.960465754142,5821.332161409511,48363.38502797393,44171.56234816026,92534.9473761342,0.9801,-13235.231652485634,0.9634924839989961,7927.399492078495,52098.96184023876
3,horizon,1,0,0,资金+需求,False,False,True,0.3,0.3,15504.496965889031,743492496.4096361,7434924964.096361,22085.78117408013,24151.68730247511,-8647.19033658608,0.0,-8647.19033658608,10970.09728243063,35181.795007929446,44171.56234816026,79353.3573560897,0.9702989999999999,-8390.360136399137,0.9457416090031758,12461.7991755369,56633.36152369716
4,horizon,1,0,0,资金+需求,False,False,True,0.4,0.4,20291.800438953956,991323328.5461816,9913233285.461815,22085.78117408013,24264.667664439443,-3972.8672254854864,0.0,-3972.8672254854864,15927.17026135177,26844.297604841773,44171.56234816026,71015.85995300203,0.96059601,-3816.3204050611284,0.9283177667225558,16826.429353139087,60997.99170129935
5,horizon,1,0,0,资金+需求,False,False,True,0.5,0.5,24897.44382469887,1239154160.6827269,12391541606.827269,22085.78117408013,24373.36084834302,524.0829763558468,0.0,524.0829763558468,20697.866751332447,23168.8035078312,44171.56234816026,67340.36585599146,0.9509900498999999,498.3976958363872,0.9112149320796772,21026.00642650551,65197.56877466577
6,horizon,1,0,0,资金+需求,False,False,True,0.6,0.6,29326.4958146095,1486984992.8192723,14869849928.192722,22085.78117408013,24477.886475304913,4848.6093393045885,0.0,4848.6093393045885,25287.371604939646,23978.288637465932,44171.56234816026,68149.8509856262,0.9414801494009999,4564.8694451555675,0.8944271909999159,25065.130636175367,69236.69298433562
7,horizon,1,0,0,资金+需求,False,False,True,0.7,0.7,33583.89999423841,1734815824.9558175,17348158249.558174,22085.78117408013,24578.361213944157,9005.538780294253,0.0,9005.538780294253,29700.741889487872,29100.669313009646,44171.56234816026,73272.2316611699,0.9320653479069899,8393.750636344852,0.8779487383664247,28948.2887409259,73119.85108908615
8,horizon,1,0,0,资金+需求,False,False,True,0.8,0.8,37674.47773253903,1982646657.092363,19826466570.92363,22085.78117408013,24674.898848568053,12999.578883970978,0.0,12999.578883970978,33942.90983566998,38368.68030011158,44171.56234816026,82540.24264827184,0.92274469442792,11995.292444981442,0.8617738760127536,32679.85663779496,76851.41898595521
9,horizon,1,0,0,资金+需求,False,False,True,0.9,0.9,41602.93100720054,2230477489.2289085,22304774892.289085,22085.78117408013,24767.610345850062,16835.320661350477,0.0,16835.320661350477,38018.68572091345,51619.755675174965,44171.56234816026,95791.31802333522,0.9135172474836407,15379.355791061354,0.8458970107524514,36264.10192408203,80435.66427224228
10,horizon,1,0,0,资金,False,True,True,1.0,1.0,45373.84516736112,2478308321.3654537,24783083213.654537,22085.78117408013,24856.60392002985,20517.24124733127,0.0,20517.24124733127,41932.76068886632,68695.91244401144,44171.56234816026,112867.4747921717,0.9043820750088043,18555.42521271768,0.8303126524449708,39705.18640257686,83876.74875073711
11,horizon,1,0,0,资金,False,True,True,1.1,1.0,44537.90148640722,2478308321.3654537,24783083213.654537,22085.78117408013,24836.87564915934,19701.025837247882,0.0,19701.025837247882,43908.193446931386,87767.23024178349,44171.56234816026,131938.79258994374,0.8953382542587163,17639.08208022738,0.8150154120972048,40334.8944420527,84506.45679021295
12,horizon,1,0,0,资金,False,True,True,1.2,1.0,43717.35878888661,2478308321.3654537,24783083213.654537,22085.78117408013,24817.510841497853,18899.847947388756,1246.5005186167182,17653.34742877204,44460.46751168514,106163.68639335406,44171.56234816026,150335.2487415143,0.8863848717161291,15647.660096012361,0.8,39591.78571925417,83763.34806741442
13,horizon,1,0,0,资金,False,True,True,1.3,1.0,42911.93333524108,2478308321.3654537,24783083213.654537,22085.78117408013,24798.50280079182,18113.430534449264,0.0,18113.430534449264,43641.351416684585,125006.53500924683,44171.56234816026,169178.0973574071,0.8775210229989678,15894.91609261066,0.7852612238990014,38862.367637810705,83033.92998597096
