month,phase,nodes,pending_nodes,ordered,binding_constraint,cash_ok,demand_ok,supply_ok,demand_equiv_nodes,utilization,revenue_usd,out_tokens,in_tokens,rent_usd,opex_usd,ebt_usd,tax_usd,net_income_usd,cash_in_usd,cash_usd,deposits_usd,equity_usd,survival_prob,expected_net_income_usd,price_index,ar_balance_usd,capital_employed_usd
1,horizon,1,0,0,资金+需求,False,False,True,0.1,0.1,5236.927156772958,247830832.1365454,2478308321.3654537,22085.78117408013,23909.372654979972,-18672.445498207013,0.0,-18672.445498207013,2094.7708627091833,66528.52290404975,44171.56234816026,110700.08525221,0.99,-18485.72104322494,0.958324528627148,3142.156294063775,47313.718642224034
2,horizon,1,0,0,资金+需求,False,False,True,0.2,0.2,10037.351497938309,495661664.2730908,4956616642.730907,22085.78117408013,24022.662669431473,-13985.311171493164,0.0,-13985.311171493164,5586.018746207212,48091.87898082549,44171.56234816026,92263.44132898575,0.9801,-13707.00347918045,0.9183859021684453,7593.489045794871,51765.05139395513
3,horizon,1,0,0,资金+需求,False,False,True,0.3,0.3,14428.56021439009,743492496.4096361,7434924964.096361,22085.78117408013,24126.295195139737,-9697.734980749647,0.0,-9697.734980749647,10353.707682169417,34319.29146785517,44171.56234816026,78490.85381601543,0.9702989999999999,-9409.7025540864,0.8801117367933934,11668.341578015545,55839.9039261758
4,horizon,1,0,0,资金+需求,False,False,True,0.4,0.4,18436.32422163174,991323328.5461816,9913233285.461815,22085.78117408013,24220.878425710638,-5784.554204078897,0.0,-5784.554204078897,14714.303202351217,24812.716244495747,44171.56234816026,68984.278592656,0.96059601,-5556.619688066914,0.8434326653017492,15390.362597296069,59561.924945456325
5,horizon,1,0,0,资金+需求,False,False,True,0.5,0.5,22084.977149140635,1239154160.6827269,12391541606.827269,22085.78117408013,24306.98663479985,-2222.009485659215,0.0,-2222.009485659215,18693.456190462806,19199.185800158702,44171.56234816026,63370.74814831896,0.9509900498999999,-2113.10891164533,0.8082822114040379,18781.883555973895,62953.445904134154
6,horizon,1,0,0,资金+需求,False,False,True,0.6,0.6,25397.49037942984,1486984992.8192723,14869849928.192722,22085.78117408013,24385.161947034674,1012.3284323951666,0.0,1012.3284323951666,22315.38656300365,17129.410416127677,44171.56234816026,61300.97276428794,0.9414801494009999,953.0871237742815,0.7745966692414834,21863.987372400094,66035.54972056035
7,horizon,1,0,0,资金+需求,False,False,True,0.7,0.7,28395.54432887623,1734815824.9558175,17348158249.558174,22085.78117408013,24455.91602024161,3939.6283086346193,0.0,3939.6283086346193,25602.957990121635,18276.452386007702,44171.56234816026,62448.01473416796,0.9320653479069899,3671.9910301117525,0.7423149879270033,24656.57371115469,68828.13605931494
8,horizon,1,0,0,资金+需求,False,False,True,0.8,0.8,31099.596153236114,1982646657.092363,19826466570.92363,22085.78117408013,24519.7316432965,6579.864509939613,0.0,6579.864509939613,28577.748873786266,22334.469616497467,44171.56234816026,66506.03196465773,0.92274469442792,6071.535066601343,0.7113786608980126,27178.42099060453,71349.98333876478
9,horizon,1,0,0,资金+需求,False,False,True,0.9,0.9,33528.94405205024,2230477489.2289085,22304774892.289085,22085.78117408013,24577.064253708515,8951.879798341724,0.0,8951.879798341724,31260.119765453797,29017.52512824275,44171.56234816026,73189.08747640302,0.9135172474836407,8177.696593185541,0.6817316198804996,29447.24527720097,73618.80762536122
10,horizon,1,0,0,资金,False,True,True,1.0,1.0,35701.78833783007,2478308321.3654537,24783083213.654537,22085.78117408013,24628.34337885292,11073.44495897715,0.0,11073.44495897715,33669.27739671794,38058.459146107765,44171.56234816026,82230.02149426803,0.9043820750088043,10014.625129495538,0.6533201332722017,31479.756218313094,75651.31856647335
11,horizon,1,0,0,资金,False,True,True,1.1,1.0,34213.89947999722,2478308321.3654537,24783083213.654537,22085.78117408013,24593.229201808062,9620.670278189158,0.0,9620.670278189158,34454.77950896298,47920.00945326268,44171.56234816026,92091.57180142295,0.8953382542587163,8613.754131672598,0.6260927087607083,31238.876189347327,75410.43853750758
12,horizon,1,0,0,资金,False,True,True,1.2,1.0,32788.01909166496,2478308321.3654537,24783083213.654537,22085.78117408013,24559.578424643423,8228.440667021536,0.0,8228.440667021536,34089.91398201417,57450.345010633435,44171.56234816026,101621.90735879369,0.8863848717161291,7293.565325061664,0.6,29936.981298998115,74108.54364715837
13,horizon,1,0,0,资金,False,True,True,1.3,1.0,31421.56294063775,2478308321.3654537,24783083213.654537,22085.78117408013,24527.33005947918,6894.2328811585685,0.0,6894.2328811585685,32669.20074775375,65592.21569890801,44171.56234816026,109763.77804706828,0.8775210229989678,6049.834290667389,0.5749947171762888,28689.343491882144,72860.9058400424
